number,link,Message,Subject Line,characters_count,and_or,blank_line,capital_start,end_dot,imperative_start,wrap_to_72,verb_obj_conn,changed_files_count,changes_methods_count,files_to_body_ratio,methods_to_body_ratio,methods_long,methods_complexity,methods_parameters,added_lines,removed_lines,label,not_sure,
765,https://github.com/torvalds/uemacs/commit/3246438f7350ad080355b9031e9ea4b3925a34bf,"uemacs: Kill unused lckhello function

This patch kills an unused 'lckhello' function and gets rid of the following
GCC warning:

    CC       lock.o
  lock.c:160: warning: �lckhello� defined but not used

Signed-off-by: Pekka Enberg <penberg@kernel.org>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: Kill unused lckhello function,37,1,1,1,1,1,0,1,1,1,0,1,-1,-1,-1,0,6,good,,
766,https://github.com/torvalds/uemacs/commit/0f05e53f99c07afcd4fa8040c8631bc3caf4de56,"uemacs: Fix return statements

Return statement is not a function so remove superfluous use of parenthesis.

Cc: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Pekka Enberg <penberg@kernel.org>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: Fix return statements,29,1,1,1,1,1,0,1,28,214,0,0,-1,-1,-1,760,760,bad,,
767,https://github.com/torvalds/uemacs/commit/f4ccd4965003bdef5acbc4e8be988911b428c58f,"uemacs: Clean up program executable

This patch fixes Makefile 'clean' target to clean up program executable 'em'.

Signed-off-by: Pekka Enberg <penberg@kernel.org>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: Clean up program executable,35,1,1,1,1,1,0,1,1,0,1,-1,-1,-1,-1,7,5,good,,
768,https://github.com/torvalds/uemacs/commit/9f801a88222af6aa07102414ae0d203dfca3812a,"uemacs: Remove garbage from the tree

This patch removes bunch of ancient Makefiles and VMS scripts from
uemacs source tree.  If somebody really needs them, they can always look
them up from git repository history.

Signed-off-by: Pekka Enberg <penberg@kernel.org>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: Remove garbage from the tree,36,1,1,1,1,1,1,1,6,0,0,-1,-1,-1,-1,0,262,good,,
769,https://github.com/torvalds/uemacs/commit/b71ee14235e13382fd1f69d96bd42cbf5c2a0a11,"uemacs: Remove two completly unused functions (fnclabel and spal).

The implementation of these functions are doing anything at all at this moment.
So cleanup a bit the code by removing fnclabel and spal functions completly.

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: Remove two completly unused functions (fnclabel and spal).,66,0,1,1,0,1,0,1,9,15,0,0.67,0.09,-1,0.09,23,135,good,,
770,https://github.com/torvalds/uemacs/commit/1dcc35b3098ee7675d974aee313cd73291f8f2dd,"uemacs: Remove more garbage emacs.* files from the tree.

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: Remove more garbage emacs.* files from the tree.,56,1,1,1,0,1,1,1,3,0,0,-1,-1,-1,-1,0,56,neutral,,
771,https://github.com/torvalds/uemacs/commit/74336ca924c45d46b9fafffb9309878e368cc301,"uemacs: Get rid of the CALLED macro.

uemacs is not a subprogram and doesn't seem it will be, so there is no reason
to leave this macro. And this macro is defined to 0, so we never reach the path
where we test for this macro.

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: Get rid of the CALLED macro.,36,1,1,1,0,1,0,1,4,1,0,0,1,-1,1,5,35,good,,
772,https://github.com/torvalds/uemacs/commit/5664b10291a34c978137b70be199d3f473e0e347,"uemacs/version.c: Add version function to output the version string information.

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs/version.c: Add version function to output the version string information.,80,1,1,1,0,1,0,1,4,1,0.25,0,1,1,1,16,6,bad,,
773,https://github.com/torvalds/uemacs/commit/da3d470b8d036cfd95d0f22e9ea19ffd81e1b7a2,"Fix a tiny typo

Signed-off-by: Christian Faulhammer <christian@faulhammer.org>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Fix a tiny typo,15,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,1,1,good,,
774,https://github.com/torvalds/uemacs/commit/18342f6246bef932f9b6f3ca0fe1137f05a76e74,"uemacs: Move function declarations from edef.h to efunc.h.

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: Move function declarations from edef.h to efunc.h.,58,1,1,1,0,1,1,1,2,0,1,-1,-1,-1,-1,5,4,good,,
775,https://github.com/torvalds/uemacs/commit/6491f4c4f04ec84879a751d3a406bc903478441a,"uemacs: convert typedef struct WHBLOCK to struct while_block.

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: convert typedef struct WHBLOCK to struct while_block.,61,1,1,0,0,1,1,1,3,3,0,0,-1,-1,-1,14,14,good,,
776,https://github.com/torvalds/uemacs/commit/4966cb355eecf368200916f98eb8d0abe6edd6a4,"uemacs: get rid of BITMAP typedef.

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: get rid of BITMAP typedef.,34,1,1,0,0,1,1,1,2,6,0,0,1,1,1,17,19,good,,
777,https://github.com/torvalds/uemacs/commit/fa57a63d574dc9f3d2274cfb93e47499c8745c9e,"uemacs: remove forward declaration of 'struct video' from edef.h

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: remove forward declaration of 'struct video' from edef.h,64,1,1,0,1,1,1,1,1,0,1,-1,-1,-1,-1,0,2,good,,
778,https://github.com/torvalds/uemacs/commit/6ceea8ba9b06c89cd0fd8342f9248d5ca2ff7563,"uemacs: convert typedef struct VDESC to struct variable_description.

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: convert typedef struct VDESC to struct variable_description.,68,1,1,0,0,1,1,1,3,5,0,0,-1,-1,-1,32,36,neutral,,
779,https://github.com/torvalds/uemacs/commit/72a1af4d91a36516e9c7642368ab35fba28cc25c,"uemacs: Kill dead code

This patch kills #ifdef'd code from display.c and file.c.

Signed-off-by: Pekka Enberg <penberg@kernel.org>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: Kill dead code,22,1,1,1,1,1,1,1,2,3,1,0,1,-1,1,0,26,good,,
780,https://github.com/torvalds/uemacs/commit/af19da1a99c37bc8b5e82f1d272673260f0a976f,"uemacs: Move structure line and its functions to its own header file.

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: Move structure line and its functions to its own header file.,69,0,1,1,0,1,1,1,19,0,0,-1,-1,-1,-1,160,130,bad,,
781,https://github.com/torvalds/uemacs/commit/10ae1711470749d10c2aee32d3e79f7568e5dcf7,"uemacs: Move NBLOCK constant into line.c

This constant is only used in line.c. So just keep it there.

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: Move NBLOCK constant into line.c,40,1,1,1,1,1,1,1,2,1,0.5,0,-1,-1,-1,5,4,good,,
782,https://github.com/torvalds/uemacs/commit/1cf0fc1609a4a573b92aa4cca37fb3f8334cad47,"uemacs: add line.h in names.c to fix compiling error

I got following errors while compiling uemacs:

names.c:132: error: �insspace� undeclared here (not in a function)
names.c:217: error: �yank� undeclared here (not in a function)
make: *** [names.o] Error 1

It looks like names.c needs line.h for function declarations.

Signed-off-by: Li Jie <eltshanli@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: add line.h in names.c to fix compiling error,52,1,1,0,1,1,1,1,1,0,1,-1,-1,-1,-1,1,0,good,,
783,https://github.com/torvalds/uemacs/commit/e1b2f459e22d4d704ecb0cfed19df02a43e803a4,"uemacs: Move uv variable into the eval.c source file.

It's used only there.

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: Move uv variable into the eval.c source file.,53,1,1,1,0,1,1,1,2,0,0.5,-1,-1,-1,-1,5,5,good,,
784,https://github.com/torvalds/uemacs/commit/ebd4f2f1eb6b0a032273b8adceacd1155dbc9c67,"uemacs: convert typedef struct MC to struct magic.

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: convert typedef struct MC to struct magic.,50,1,1,0,0,1,1,1,5,10,0,0,-1,-1,-1,21,21,good,,
785,https://github.com/torvalds/uemacs/commit/dff382de1d39be7bf41d1fd1fb5e7bbf15023888,"uemacs: buffer.c: Fix uninitialized struct warning.

This fix the following warning:

  buffer.c: In function �nextbuffer�:
  buffer.c:45: warning: �bp� may be used uninitialized in this function

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: buffer.c: Fix uninitialized struct warning.,51,1,1,1,0,1,0,1,1,1,1,0,-1,-1,-1,2,2,neutral,,
786,https://github.com/torvalds/uemacs/commit/a1891f8efcfdd78dc2f0494f8abad2dc366b6f29,"uemacs: Move some constants from estruct.h to posix.c

These two constants are only needed/used by the posix.c file,
so just define them there.

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: Move some constants from estruct.h to posix.c,53,1,1,1,1,1,1,1,2,0,1,-1,-1,-1,-1,15,14,good,,
787,https://github.com/torvalds/uemacs/commit/9744421f3ca0a6f812182b52745dcfabdcb987f8,"uemacs: Move MAXNLINE constant from estruct.h to file.c

This constant is used only there, so there is no reason for it to be
in estruct.h

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: Move MAXNLINE constant from estruct.h to file.c,55,1,1,1,1,1,1,1,2,0,1,-1,-1,-1,-1,5,4,good,,
788,https://github.com/torvalds/uemacs/commit/f28629471c737da5af23db627b750a4b4666c89d,"uemacs: convert typedef struct RMC to struct magic_replacement.

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: convert typedef struct RMC to struct magic_replacement.,63,1,1,0,0,1,1,1,4,3,0,0,-1,-1,-1,12,11,good,,
789,https://github.com/torvalds/uemacs/commit/d6e76cca7b54f9e692481f878c663f97748e8ad9,"uemacs: input.c: Fix mkstemp warning.

Fix the following warning:

input.c: In function �getstring�:
input.c:590: warning: ignoring return value of �mkstemp�, declared with attribute warn_unused_result

This add usage.c module for die function.
This also add wrapper.c module for the xmkstemp that is wrapper function
around the original mkstemp function.

Both module codes was largelly based on git, linux and sparse codes.

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: input.c: Fix mkstemp warning.,37,1,1,1,0,1,0,1,6,1,0.5,0,1,0.73,1,61,9,good,,
790,https://github.com/torvalds/uemacs/commit/bf3c3ac2bd36ee89c1b18999ac779e86deb7750f,"uemacs: Make some magic variables private to search.c module.

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: Make some magic variables private to search.c module.,61,1,1,1,0,1,1,1,3,0,0.33,-1,-1,-1,-1,14,25,good,,
791,https://github.com/torvalds/uemacs/commit/6e4aec520ef4f16960fb70d54b9e9a3955d12b03,"uemacs: Add xmalloc as a wrapper function for malloc.

xmalloc checks the returned pointer and dies if it failed to allocate
the memory.

Use this new function in window.c.
More places will be converted to use xmalloc latter.

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: Add xmalloc as a wrapper function for malloc.,53,1,1,1,0,1,1,1,3,2,0.33,0.5,1,1,1,12,4,good,,
792,https://github.com/torvalds/uemacs/commit/823786d263fc88ef9343d56970044be17b6dd755,"uemacs: display.c: Use the newly introduced xmalloc function.

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: display.c: Use the newly introduced xmalloc function.,61,1,1,1,0,1,1,1,1,1,1,0,1,-1,1,5,19,good,,
793,https://github.com/torvalds/uemacs/commit/c718cb2a4a204627d6c2a9cfb1ac8e88c15a198b,"Show xA0 (nbsp) as a non-printable character

I want to see the difference between space and nbsp, and I consider nbsp
to be a control character, so show it as such.  Even if it is
technically ""printable"".

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Show xA0 (nbsp) as a non-printable character,44,1,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,1,1,good,,
794,https://github.com/torvalds/uemacs/commit/a511e03e609001935e8671f8aa3764aca9b5a803,"Respect LDFLAGS when linking.

Signed-off-by: Ulrich M�ller <ulm@gentoo.org>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Respect LDFLAGS when linking.,29,1,1,1,0,1,1,0,1,0,0,-1,-1,-1,-1,1,1,neutral,,
795,https://github.com/torvalds/uemacs/commit/2d0b5685594d23355ed9aa9f6f43acdc7b6c64bf,"uemacs: Add -g options to the output usage.

While I'm here, improve the word of the above two options.

Signed-off-by: Thiago Farina <tfransosi@gmail.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",uemacs: Add -g options to the output usage.,43,1,1,1,0,1,1,1,1,1,0,1,1,1,1,3,2,good,,
796,https://github.com/torvalds/uemacs/commit/c0970c42209c707f14e6ef6d50dd5861682a11ae,"Force a screen re-draw after tcap 'ti' on terminal open

The 'tcapkopen()' function re-initializes the terminal with the 'ti'
sequence, which for most sane termcap entries is just empty.  But for
'xterm', that seems to actually be a real control sequence (clear and
reset?), and we'd better tell display.c that the screen is now garbage
and needs to be re-drawn.

Also, make tcapkclose() match the 'ti' (terminal init) with a 'te'
(terminal exit).

Maybe we should just stop playing games with ti/te, but this at least
improves the situation a bit.

Reported-by: Bijan Soleymani <bijan@psq.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Force a screen re-draw after tcap 'ti' on terminal open,55,1,1,1,1,1,1,1,1,2,0,1,1,1,1,7,0,good,,
797,https://github.com/torvalds/uemacs/commit/33676d6d23f1381a7984dd1b1fd4f1464317e6aa,"file.c: remove crazy keyboard open/close calls

It seems to have something to do with some old DOS mode, and not having
keyboard translation on (""Insert floppy A:"" questions while opening
files? Whatever).  But this is while doing normal file opens, and it is
just insane to open/close a tty across a file open.

The possible tty init/exit sequence would mess up some of the file
read/write messages.

Reported-by: Bijan Soleymani <bijan@psq.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",file.c: remove crazy keyboard open/close calls,46,1,1,0,1,1,1,1,1,2,1,0,1,-1,1,0,8,good,,
798,https://github.com/torvalds/uemacs/commit/12ba84c8dd6173b710e14d735e1576f09e7c9825,"spawn.c: do the ""keyboard open/close"" around shell invocations

I'm not 100% sure we really should even be doing this whole ""keyboard""
open/close for termcap, but even if the right thing to do ends up being
to just do everything in the TTopen/TTclose (and make TTkopen/TTkclose
no-ops), it does seem to be the right thing to do.

Reported-by: Bijan Soleymani <bijan@psq.com>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>","spawn.c: do the ""keyboard open/close"" around shell invocations",62,1,1,0,1,1,1,1,1,4,1,0,-1,1,-1,6,0,good,,
799,https://github.com/torvalds/uemacs/commit/1d0cfd02760c39c0c1ae0790d69391f29e19271e,"Make uemacs build on FreeBSD.

See <https://bugs.gentoo.org/show_bug.cgi?id=387135>.

Signed-off-by: Ulrich M�ller <ulm@gentoo.org>
Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>",Make uemacs build on FreeBSD.,29,1,1,1,0,1,1,0,2,0,0,-1,-1,-1,-1,4,1,neutral,,
800,https://github.com/torvalds/uemacs/commit/2dddd4f970e9dd7aa415ec6b4f646273c5c92211,"Show lines with a single helper function, not one byte at a time

Let's see how hard it is to show UTF-8 characters properly.

Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>","Show lines with a single helper function, not one byte at a time",64,1,1,1,1,1,1,1,2,5,0,0,1,-1,1,17,12,good,,
801,https://github.com/apple/swift-llbuild/commit/918ebefb9e73367d0fc50729a35a6de5a1e25472,Add .gitignore file.,Add .gitignore file.,20,1,1,1,0,1,1,1,1,0,1,-1,-1,-1,-1,20,0,good,,
802,https://github.com/apple/swift-llbuild/commit/2f1950baf336e052567fbdc1b358bddd52f363d2,"Add some stub code, using 'llbuild' as the internal name for now.","Add some stub code, using 'llbuild' as the internal name for now.",65,1,1,1,0,1,1,1,3,0,0,-1,1,1,1,69,0,neutral,,
803,https://github.com/apple/swift-llbuild/commit/049b097aba77d6922493faf1eea3260afc6b251d,Add a CMake based build system.,Add a CMake based build system.,31,1,1,1,0,1,1,1,6,0,0,-1,-1,-1,-1,115,0,neutral,,
804,https://github.com/apple/swift-llbuild/commit/610fbb852c34da6681a612cead97a67190b9e648,[Ninja] Start sketching a Ninja manifest Lexer.,[Ninja] Start sketching a Ninja manifest Lexer.,47,1,1,1,0,1,1,1,5,0,0,-1,0.33,1,0.53,239,0,bad,,
805,https://github.com/apple/swift-llbuild/commit/d084dadf6464a5d963a82d81ddebccf2de89ff3b,"[llbuild-tool] Hack up to dump Ninja input file tokens, for bringing up more infrastructure.

 - This will get ripped out and moved elsewhere, soon.","[llbuild-tool] Hack up to dump Ninja input file tokens, for bringing up more infrastructure.",92,1,1,1,0,1,0,1,2,2,0,0,-1,1,1,44,2,bad,,
806,https://github.com/apple/swift-llbuild/commit/a3bc9005443f562048b2b5d34b57d552dcc1a0e7,[CMake] Change binaries and libraries to end up in a consistent location.,[CMake] Change binaries and libraries to end up in a consistent location.,73,0,1,1,0,1,0,1,5,0,0,-1,-1,-1,-1,59,3,bad,,
807,https://github.com/apple/swift-llbuild/commit/726a2ff490e83a73bd91779bc94eb199d706fa51,[CMake] Add �lit� based testing support (under �test� target).,[CMake] Add �lit� based testing support (under �test� target).,70,1,1,1,0,1,1,1,6,0,0,-1,-1,-1,-1,195,0,bad,,
808,https://github.com/apple/swift-llbuild/commit/09266f4475611117c4f60107ef32df9355bd87f4,"[Ninja] Tidy up Lexer token printing, and add a basic test.","[Ninja] Tidy up Lexer token printing, and add a basic test.",59,0,1,1,0,1,1,1,3,3,0,0,0.13,1,1,52,4,good,,
809,https://github.com/apple/swift-llbuild/commit/9c53ab827cc3854518e1f6b3238ee70883b45fba,"[unittests] Import googletest, a la LLVM.

 - I removed the raw_ostream support, since we don�t have it available
   (yet), but otherwise this is just a copy from LLVM.","[unittests] Import googletest, a la LLVM.",41,1,1,1,0,1,1,1,35,0,0,-1,0.64,0.7,0.82,28854,0,bad,,
810,https://github.com/apple/swift-llbuild/commit/3ac3f0e32e5f7d77fcef31220d61a79e1bc3d15e,"[unittests] Add C++ unittests, using googletest.","[unittests] Add C++ unittests, using googletest.",48,1,1,1,0,1,1,1,6,0,0,-1,1,1,1,80,0,good,,
811,https://github.com/apple/swift-llbuild/commit/fdcaa6f440b10aff949762e4573d210590ff5b8d,[tests] Integrate unit tests with �lit� config.,[tests] Integrate unit tests with �lit� config.,51,1,1,1,0,1,1,1,3,0,0,-1,-1,-1,-1,60,1,neutral,,
812,https://github.com/apple/swift-llbuild/commit/fa85d904703c9c5974d8b4fb6e0535172603f525,[Ninja] Finish basic ninja::Lexer unites.,[Ninja] Finish basic ninja::Lexer unites.,41,1,1,1,0,1,1,0,1,1,0,0,-1,1,1,48,4,good,,
813,https://github.com/apple/swift-llbuild/commit/7bbc3adb285b1b53ffb2324c8c7d16a1947fe1a0,[Ninja] Add support for lexing Newline token.,[Ninja] Add support for lexing Newline token.,45,1,1,1,0,1,1,1,3,4,0,0,0.36,1,0.91,23,7,good,,
814,https://github.com/apple/swift-llbuild/commit/6c755c2750fd23a7edc287ff775c8812f4a01660,"[Ninja] Add support for lexing Indentation tokens.

 - Ninja manifests use indentation to manage scopes (yuck), so we model this by
   an explicit token.",[Ninja] Add support for lexing Indentation tokens.,50,1,1,1,0,1,0,1,3,3,0,0,-1,1,0.8,74,9,good,,
815,https://github.com/apple/swift-llbuild/commit/b5eb34f01c143966178a99fae06298540acaca9a,"[Ninja] Add lexing support for ""identifiers"" and keywords.

 - Sadly, although Ninja does have an actual lexer, it uses it in a context
   dependent way so we will eventually need some context switching mechanism to
   be properly lex the strings that are present in the RHS of variable
   assignments (which are not token based). I'll bring that up once parsing
   needs it.","[Ninja] Add lexing support for ""identifiers"" and keywords.",58,0,1,1,0,1,0,1,3,7,0,0.14,0.16,1,0.71,128,3,neutral,,
816,https://github.com/apple/swift-llbuild/commit/910ac6e10c945520c2504da11c8f20eb773528df,Fixup operator-o.,Fixup operator-o.,17,1,1,1,0,0,1,0,1,1,0,0,-1,-1,-1,1,1,neutral,,
817,https://github.com/apple/swift-llbuild/commit/31b192bb8779d411d810fcfdb2fdad02a86092a3,[Commands] Split out a Commands library (command line tool implementations).,[Commands] Split out a Commands library (command line tool implementations).,76,1,1,1,0,1,0,1,7,4,0,0,0.32,1,0.29,160,67,bad,,
818,https://github.com/apple/swift-llbuild/commit/a7c410a6c826b39da16a751e1f2ea57475c5c124,[NinjaCommand] Move lexer to �ninja lex�.,[NinjaCommand] Move lexer to �ninja lex�.,45,1,1,1,0,1,1,1,1,3,0,0,1,1,1,26,2,good,,
819,https://github.com/apple/swift-llbuild/commit/f8224b8434183f25063a5cf00f1a630ffe290dae,[Ninja] Stub out basic structure for a callback based Ninja parser.,[Ninja] Stub out basic structure for a callback based Ninja parser.,67,1,1,1,0,1,1,1,4,7,0,0,0.75,0.9,1,161,10,neutral,,
820,https://github.com/apple/swift-llbuild/commit/287ee59bc501d6a7ff749313d02f43e6fa023c9a,[Ninja] Hide the parser implementation.,[Ninja] Hide the parser implementation.,39,1,1,1,0,1,1,1,2,4,0,0,1,0.43,1,31,7,good,,
821,https://github.com/apple/swift-llbuild/commit/789703fae5b0bc304580f29cd3bf1703a2598279,[Ninja/Parser] Stub out some parsing infrastructure.,[Ninja/Parser] Stub out some parsing infrastructure.,52,1,1,1,0,1,1,1,3,17,0,0,1,1,1,92,13,neutral,,
822,https://github.com/apple/swift-llbuild/commit/686022bc54a79c33dfc3da173df613d22fdfce58,[Ninja/Lexer] Fix up command line test.,[Ninja/Lexer] Fix up command line test.,39,1,1,1,0,1,1,1,1,0,0,-1,-1,-1,-1,1,1,good,,
823,https://github.com/apple/swift-llbuild/commit/7d2456072bacdb9cd355599ccd1ba78f332223e0,[NinjaCommand] Add simple caret style diagnostics.,[NinjaCommand] Add simple caret style diagnostics.,50,1,1,1,0,1,1,1,5,9,0,0,0.17,1,0.17,65,5,neutral,,
824,https://github.com/apple/swift-llbuild/commit/c8fae98225e62788b2a8c4d804670946b2d47fca,"[Ninja/Parser] Parse Include/Subninja decls.

 - Also, hide ParserImpl more fully in an anon namespace as I�d like to
   guarantee compiler can rewrite it.",[Ninja/Parser] Parse Include/Subninja decls.,44,1,1,1,0,1,0,1,4,14,0,0.07,0.39,1,0.63,145,11,neutral,,
825,https://github.com/apple/swift-llbuild/commit/74c7400a0d0326553c89e842b43e85d7fcca639f,[Ninja/Parser] Parse default decl.,[Ninja/Parser] Parse default decl.,34,1,1,1,0,1,1,1,4,7,0,0,1,1,1,65,16,good,,
826,https://github.com/apple/swift-llbuild/commit/24f1ce21ca7a34147d215c2e7aed2f89d166e568,"[Ninja/Parser] Parse variable binding decls.

 - This is incomplete, as we will actually need to put the lexer into
   another mode where it preserves whitespace, but this is a start.",[Ninja/Parser] Parse variable binding decls.,44,1,1,1,0,1,1,1,4,4,0,0,0.23,1,1,57,9,good,,
827,https://github.com/apple/swift-llbuild/commit/9ec5aa5127571d0674b1346a8ccd526e5dbadaca,[Ninja/Parser] Start parsing parameterized decls.,[Ninja/Parser] Start parsing parameterized decls.,49,1,1,1,0,1,1,1,4,10,0,0,0.46,0.79,0.67,226,9,bad,,
828,https://github.com/apple/swift-llbuild/commit/5f4c9bef19da3b29ba604c909158ee521e883c16,[Ninja/Lexer] Improve lexing of ':' and '=' in identifier strings.,[Ninja/Lexer] Improve lexing of ':' and '=' in identifier strings.,66,0,1,1,0,1,1,1,2,1,0,0,-1,-1,-1,13,2,neutral,,
829,https://github.com/apple/swift-llbuild/commit/d495500b012386532e8b5b70ec3d0c0dd59e4ae8,"[Ninja/Parser] Add support for parsing ""build"" decl specifier.","[Ninja/Parser] Add support for parsing ""build"" decl specifier.",62,1,1,1,0,1,1,1,4,4,0,0,-1,0.93,-1,85,9,neutral,,
930,https://github.com/apple/swift-llbuild/commit/bd50ab606d899d68cb3c662823f503413761ee05,"[Ninja/Parser] Tidy up parseParameterizedDecl().

 - Also, fixes a bug where we didn't set the result for build decls.",[Ninja/Parser] Tidy up parseParameterizedDecl().,48,1,1,1,0,1,1,1,1,7,0,0.14,-1,1,-1,21,20,good,,
831,https://github.com/apple/swift-llbuild/commit/e927bc497c5b87e2da84bb986b25afe405d6a62e,"[Ninja/Parser] Add support for parsing variable bindings in param decls.

 - For now we split these out into separate per-decl-type actions, but we
   might want to relax that once we have an actual client for the parser.",[Ninja/Parser] Add support for parsing variable bindings in param decls.,72,1,1,1,0,1,0,1,4,4,0,0,0.41,0.59,0.41,116,3,bad,,
832,https://github.com/apple/swift-llbuild/commit/ea59f6bfa7dd6ef01c333d9a837e022778b4b264,"[NinjaCommand] Add a parse-only action, for perf timing.","[NinjaCommand] Add a parse-only action, for perf timing.",56,1,1,1,0,1,1,1,1,19,0,0,0.33,0.78,0.67,97,1,neutral,1,
833,https://github.com/apple/swift-llbuild/commit/d239f25f6b99826f7f9c5358ed0f79b32b1d3634,"[NinjaCommand] Add a lex-only action, for perf timing.","[NinjaCommand] Add a lex-only action, for perf timing.",54,1,1,1,0,1,1,1,1,3,0,0,-1,1,0.55,20,9,good,,
834,https://github.com/apple/swift-llbuild/commit/c3c15abf184f8b96fb93aeae7307b53267eb5ad6,[Ninja/Parser] Simplify parser logic.,[Ninja/Parser] Simplify parser logic.,37,1,1,1,0,1,1,1,1,1,0,0,1,-1,1,1,4,good,,
835,https://github.com/apple/swift-llbuild/commit/285f35d6264ee76d7267c01367fc3274c7e392c4,"[Ninja/Lexer] Add support for lexing strings.

 - Sadly, the Ninja manifest language is context sensitive and doesn�t
   have a real string token type, so we support this by giving the lexer
   a StringMode that can be set by the client.

 - Once the parser has moved over to using these tokens fully then we
   can clean up the Identifier token to really truly only be identifiers.",[Ninja/Lexer] Add support for lexing strings.,45,1,1,1,0,1,0,1,3,9,0,0.11,0.34,1,0.76,158,6,neutral,,
836,https://github.com/apple/swift-llbuild/commit/13ff703814421be266f3da2e496940c7d0500031,[Ninja/Parser] Factor out common binding parsing code.,[Ninja/Parser] Factor out common binding parsing code.,54,1,1,1,0,1,1,1,1,3,0,0,1,-1,1,53,60,good,,
837,https://github.com/apple/swift-llbuild/commit/bec1e5d5720f05cc35d7771972beb2d98cb080c4,[Ninja/Parser] Use Variable string mode parsing where appropriate.,[Ninja/Parser] Use Variable string mode parsing where appropriate.,66,1,1,1,0,1,1,1,2,1,0,0,-1,1,1,42,7,good,,
